"","...1","assigned_to","nr","extractors_first_name","extractors_last_name","preprint_id","preprint_doi.x","preprint_title.x","submitting_author.x","submitting_author_country","submitting_author_first_publication_year","taxa_being_studied","data_link_preprint","code_link_preprint","number_of_citations_preprint","pci_recommendation_preprint","publication_doi","publication_journal","publication_date","publication_title_changed","number_of_citations_article","current_version.x","data_link_article","code_link_article","publisher_doi.x","preprint_published_date","total_authors.x","time_between_preprint_and_pub_days","postprint","plants","algi","fungi","microorganisms","invertebrates","vertebrates","type_of_preprint","data_link_preprint_cleaned","code_link_preprint_cleaned","data_link_article_cleaned","code_link_article_cleaned","check_completed","check_comment","doi.1","journal_name","is_oa","oa_status","preprint_title.y","preprint_doi.y","publisher_doi.y","reuse_licence","submitted_date","accepted_date","published_date","update_date","current_version.y","version_date","submitting_author.y","authors_list","total_authors.y"
"85",85,"david moreau",85,"michael","bertram",4096,"https://doi.org/10.32942/osf.io/5zvx2","covid-19 and small-scale fisheries in africa: impacts on livelihoods and the fish value chain in cameroon and liberia","neville n. suh","cameroon",2019,"human","none","none",0,"no","https://doi.org/10.1016/j.marpol.2022.105104","marine policy",2022-05-14,"no",18,1,"none","none","https://doi.org/10.1016/j.marpol.2022.105104",2021-04-15,6,394,"preprint",0,0,0,0,0,0,"research article","no","no","no","no","yes",NA,"10.1016/j.marpol.2022.105104","Marine Policy",FALSE,"closed","COVID-19 and Small-scale fisheries in Africa: Impacts on livelihoods and the fish value chain in Cameroon and Liberia","https://doi.org/10.32942/osf.io/5zvx2","https://doi.org/10.1016/j.marpol.2022.105104","CC BY-SA 4.0",2021-04-14,2021-04-15,2021-04-15,2021-04-15,1,2021-04-14,"Neville N. Suh","Richard Nyiawung, Raymond K. Ayilu, Neville N. Suh, Norbert N. Ngwang, Frederick Varnie, Philip A. Loring",6
"86",86,"david moreau",86,"michael","bertram",4092,"https://doi.org/10.32942/osf.io/b2ux7","estimating complex ecological variables at high resolution in heterogeneous terrain using multivariate matching algorithms","rachel renne","united states of america",2019,"plants","https://github.com/drylandecology/rmultivariatematchingalgorithms","https://github.com/drylandecology/rmultivariatematchingalgorithms",3,"no",NA,NA,NA,NA,NA,2,NA,NA,NA,2021-04-16,5,NA,"preprint",1,0,0,0,0,0,"methods papers","yes","yes","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Estimating complex ecological variables at high resolution in heterogeneous terrain using multivariate matching algorithms","https://doi.org/10.32942/osf.io/b2ux7",NA,"CC BY-SA 4.0",2021-04-16,2021-04-16,2021-04-16,2021-04-16,2,2021-04-16,"Rachel Renne","Rachel Renne, Daniel Schlaepfer, Kyle Palmquist, William Lauenroth, John Bradford",5
"87",87,"david moreau",87,"michael","bertram",4090,"https://doi.org/10.32942/osf.io/uceb5","the european turtle dove in the ecotone between woodland and farmland: multi-scale habitat associations and implications for the design of management interventions","carles carboneras","spain",1984,"vertebrates",NA,NA,0,"no","https://doi.org/10.1007/s10336-021-01946-1","journal of ornithology",2022-01-05,"no",7,2,NA,NA,"https://doi.org/10.1007/s10336-021-01946-1",2021-04-19,3,261,"preprint",0,0,0,0,0,1,"reviews and meta-analyses","not applicable","not applicable","not applicable","not applicable","yes",NA,"10.1007/s10336-021-01946-1","Journal of Ornithology",TRUE,"hybrid","The European Turtle Dove in the ecotone between woodland and farmland: multi-scale habitat associations and implications for the design of management interventions","https://doi.org/10.32942/osf.io/uceb5","https://doi.org/10.1007/s10336-021-01946-1","CC BY-SA 4.0",2021-04-19,2021-04-19,2021-04-19,2021-05-07,2,2021-05-07,"Carles Carboneras","Carles Carboneras, Lara Moreno-Zarate, Beatriz Arroyo",3
"88",88,"david moreau",88,"michael","bertram",4091,"https://doi.org/10.32942/osf.io/9whck","drivers and consequences of partial migration in an alpine bird species","øyvind lorvik arnekleiv","norway",2021,"vertebrates","none","none",0,"no","https://doi.org/10.1002/ece3.8690","ecology and evolution",2022-03-10,"no",4,5,"https://doi.org/10.17605/osf.io/cy68w","https://doi.org/10.17605/osf.io/cy68w","https://doi.org/10.1002/ece3.8690",2021-04-19,5,325,"preprint",0,0,0,0,0,1,"research article","no","no","yes","yes","yes",NA,"10.1002/ece3.8690","Ecology and Evolution",TRUE,"green","Drivers and Consequences of Partial Migration in an Alpine Bird Species","https://doi.org/10.32942/osf.io/9whck","https://doi.org/10.1002/ece3.8690","CC BY-SA 4.0",2021-04-19,2021-04-19,2021-04-19,2022-02-09,5,2022-02-09,"Øyvind Lorvik Arnekleiv","Øyvind Lorvik Arnekleiv, Katrine Eldegard, Pål Fossland Moa, Lasse Frost Eriksen, Erlend Birkeland Nilsen",5
"89",89,"david moreau",89,"michael","bertram",4089,"https://doi.org/10.32942/osf.io/xcp6h","how feedback and feed-forward mechanisms link determinants of social dominance","tobit dehnen","united kingdom",2021,"review article",NA,NA,5,"no","https://doi.org/10.1111/brv.12838","biological reviews",2022-02-12,"no",15,3,NA,NA,"https://doi.org/10.1111/brv.12838",2021-04-20,4,298,"preprint",0,0,0,0,0,0,"reviews and meta-analyses","not applicable","not applicable","not applicable","not applicable","yes",NA,"10.1111/brv.12838","Biological Reviews",TRUE,"hybrid","How feedback and feed-forward mechanisms link determinants of social dominance","https://doi.org/10.32942/osf.io/xcp6h","https://doi.org/10.1111/brv.12838","CC BY-NC-ND 4.0",2021-04-20,2021-04-20,2021-04-20,2022-05-17,3,2022-01-28,"Tobit Dehnen","Tobit Dehnen, Josh J. Arbon, Damien R. Farine, Neeltje Boogert",4
"90",90,"david moreau",90,"michael","bertram",4085,"https://doi.org/10.32942/osf.io/9srpy","terminology use in animal personality research: a self-report questionnaire and a systematic review","alfredo sánchez-tójar","germany",2013,"humans","https://github.com/asanchez-tojar/animal_personality_terminology","https://github.com/asanchez-tojar/animal_personality_terminology",0,"no","https://doi.org/10.1098/rspb.2021.2259","proceedings of the royal society b: biological sciences",2022-02-02,"no",25,3,"https://doi.org/10.5281/zenodo.5848521","https://doi.org/10.5281/zenodo.5848521","https://doi.org/10.1098/rspb.2021.2259",2021-04-21,3,287,"preprint",0,0,0,0,0,0,"reviews and meta-analyses","yes","yes","yes","yes","yes",NA,"10.1098/rspb.2021.2259","Proceedings of the Royal Society B: Biological Sciences",TRUE,"green","Terminology use in animal personality research: a self-report questionnaire and a systematic review","https://doi.org/10.32942/osf.io/9srpy","https://doi.org/10.1098/rspb.2021.2259","CC BY-SA 4.0",2021-04-21,2021-04-21,2021-04-21,2021-12-15,3,2021-12-15,"Alfredo Sánchez-Tójar","Alfredo Sánchez-Tójar, Maria Moiron, Petri Toivo Niemelä",3
"91",91,"david moreau",91,"michael","bertram",4087,"https://doi.org/10.32942/osf.io/ayzms","bringing disciplines and people together to characterize the plastic and genetic responses of molluscs to environmental change","omera matoo","united states of america",2012,"invertebrates",NA,NA,0,"no","https://doi.org/10.1093/icb/icab186","integrative and comparative biology",2021-08-26,"no",6,1,NA,NA,"https://doi.org/10.1093/icb/icab186",2021-04-21,2,127,"preprint",0,0,0,0,1,0,"reviews and meta-analyses","not applicable","not applicable","not applicable","not applicable","yes",NA,"10.1093/icb/icab186","Integrative and Comparative Biology",TRUE,"hybrid","Bringing Disciplines And People Together To Characterize The Plastic And Genetic Responses Of Molluscs To Environmental Change","https://doi.org/10.32942/osf.io/ayzms","https://doi.org/10.1093/icb/icab186","CC BY-SA 4.0",2021-04-21,2021-04-21,2021-04-21,2021-04-22,1,2021-04-21,"Omera Matoo","Omera Matoo, Maurine Neiman",2
"92",92,"david moreau",92,"louis","bliard",5924,"https://doi.org/10.32942/x2r60h","the interplay of biogeographic history, floral morphology, and climatic niche in palicourea (rubiaceae), an ecologically important group of neotropical plants","ana maria bedoya","united states of america",2015,"plants","https://bitbucket.org/ambedoyao/palicourea-analyses/","https://bitbucket.org/ambedoyao/palicourea-analyses/",0,"no",NA,NA,NA,NA,NA,1,"null",NA,NA,NA,NA,NA,"preprint",1,0,0,0,0,0,"research article","no","no","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"The interplay of biogeographic history, floral morphology, and climatic niche in Palicourea (Rubiaceae), an ecologically important group of Neotropical plants","https://doi.org/10.32942/X2R60H",NA,"CC BY-NC-ND 4.0",2023-09-11,2023-09-12,2023-09-12,NA,1,2023-09-12,"Ana Maria Bedoya","Ana Maria Bedoya, Charlotte Taylor, Aislinn Mumford, Laymon Ball, Laura Lagomarsino",5
"93",93,"david moreau",93,"louis","bliard",5926,"https://doi.org/10.32942/x2vw23","limits to modeling the (thermal) limits of wolbachia","perran a ross","denmark",2014,"microorganisms",NA,NA,0,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,1,0,0,"comment","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Limits to modeling the (thermal) limits of Wolbachia","https://doi.org/10.32942/X2VW23",NA,"CC BY-NC 4.0",2023-09-12,2023-09-12,2023-09-12,NA,1,2023-09-12,"Perran A Ross","Perran A Ross, Ary A Hoffmann",2
"94",94,"david moreau",94,"louis","bliard",5927,"https://doi.org/10.32942/x2mc7n","changing precipitation regime threatens population growth and persistence of a declining grassland songbird","nikole freeman","united states of america",2015,"vertebrates","none","none",0,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,1,"research article","no","no","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Changing precipitation regime threatens population growth and persistence of a declining grassland songbird","https://doi.org/10.32942/X2MC7N",NA,"CC BY 4.0",2023-09-12,2023-09-12,2023-09-12,NA,1,2023-09-12,"Nikole Freeman","Nikole Freeman, Katy Silber, Trevor Hefley, Allison Louthan, Alice Boyle",5
"95",95,"david moreau",95,"louis","bliard",4006,"https://doi.org/10.32942/osf.io/8hbz3","men and wolves: are anthropogenic causes the main driver of wolf mortality in human-dominated landscapes in italy?","carmela musto","italy",2016,"vertebrates","https://osf.io/3guh4/","https://osf.io/3guh4/",0,"no","https://doi.org/10.1016/j.gecco.2021.e01892","global ecology and conservation",2021-10-26,"yes",20,3,"none","none","https://doi.org/10.1016/j.gecco.2021.e01892",2021-08-05,10,82,"preprint",0,0,0,0,0,1,"research article","yes","yes","no","no","yes",NA,"10.1016/j.gecco.2021.e01892","Global Ecology and Conservation",TRUE,"gold","Men and wolves: are anthropogenic causes the main driver of wolf mortality in human-dominated landscapes in Italy?","https://doi.org/10.32942/osf.io/8hbz3","https://doi.org/10.1016/j.gecco.2021.e01892","CC BY-NC-ND 4.0",2021-08-05,2021-08-05,2021-08-05,2022-06-28,3,2021-10-28,"Carmela Musto","Carmela Musto, Jacopo Cerri, Marco Galaverni, Romolo Caniglia, Elena Fabbri, Nadia Mucci, Marco Apollonio, Paolo Bonilauri, Giulia Maioli, Maria Cristina Fontana",10
"96",96,"david moreau",96,"louis","bliard",4202,"https://doi.org/10.32942/osf.io/vxrq4","visual and olfactory cues of predation affect body and brain growth in the guppy","david joseph mitchell","sweden",2016,"vertebrates","none","none",3,"no",NA,NA,NA,NA,NA,2,NA,NA,NA,2020-12-15,5,NA,"preprint",0,0,0,0,0,1,"research article","no","no","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Visual and olfactory cues of predation affect body and brain growth in the guppy","https://doi.org/10.32942/osf.io/vxrq4",NA,"CC BY-SA 4.0",2020-12-14,2020-12-15,2020-12-15,2020-12-15,2,2020-12-14,"David Joseph Mitchell","David Joseph Mitchell, Jérémy Lefèvre, Regina Vega-Trejo, Catarina Vila Pouca, Alexander Kotrschal",5
"97",97,"david moreau",97,"louis","bliard",4187,"https://doi.org/10.32942/osf.io/es5pc","early-life seasonal, weather and social effects on telomere length in a wild mammal","sil h. j. van lieshout","united kingdom",2016,"vertebrates","none","none",0,"no","https://doi.org/10.1111/mec.16014","molecular ecology",2021-06-08,"no",16,1,"https://doi.org/10.5061/dryad.3r2280gf5","none","https://doi.org/10.1111/mec.16014",2021-01-08,9,151,"preprint",0,0,0,0,0,1,"research article","no","no","yes","no","yes",NA,"10.1111/mec.16014","Molecular Ecology",TRUE,"hybrid","Early-life seasonal, weather and social effects on telomere length in a wild mammal","https://doi.org/10.32942/osf.io/es5pc","https://doi.org/10.1111/mec.16014","CC BY-SA 4.0",2021-01-08,2021-01-08,2021-01-08,2021-01-09,1,2021-01-08,"Sil H. J. van Lieshout","Sil H. J. van Lieshout, Elisa Perez Badás, Julius G. Bright Ross, Amanda Bretman, Chris Newman, Christina D. Buesching, Terry Burke, David W. Macdonald, Hannah L Dugdale",9
"98",98,"david moreau",98,"louis","bliard",4220,"https://doi.org/10.32942/osf.io/su4zv","phylogenetic multilevel meta-analysis: a simulation study on the importance of modeling the phylogeny","ozan cinar","netherlands",2017,"simulation study",NA,"https://osf.io/ms8eq/",0,"no","https://doi.org/10.1111/2041-210x.13760","methods in ecology and evolution",2021-11-08,"no",37,5,NA,"https://osf.io/ms8eq/","https://doi.org/10.1111/2041-210X.13760",2020-11-23,3,350,"preprint",0,0,0,0,0,0,"methods papers","not applicable","yes","not applicable","yes","yes",NA,"10.1111/2041-210x.13760","Methods in Ecology and Evolution",TRUE,"green","Phylogenetic multilevel meta-analysis: A simulation study on the importance of modeling the phylogeny","https://doi.org/10.32942/osf.io/su4zv","https://doi.org/10.1111/2041-210X.13760","CC BY-SA 4.0",2020-11-23,2020-11-23,2020-11-23,2021-10-08,5,2021-10-08,"Ozan Cinar","Ozan Cinar, Shinichi Nakagawa, Wolfgang Viechtbauer",3
"99",99,"david moreau",99,"louis","bliard",4218,"https://doi.org/10.32942/osf.io/v2fjs","mobilising molluscan models and genomes in biology","angus davison","united kingdom",1993,"invertebrates",NA,NA,1,"no","https://doi.org/10.1098/rstb.2020.0163","philosophical transactions of the royal society b: biological sciences",2021-04-05,"yes",19,2,NA,NA,NA,2020-11-24,2,132,"preprint",0,0,0,0,1,1,"reviews and meta-analyses","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Mobilising molluscan models and genomes in biology","https://doi.org/10.32942/osf.io/v2fjs",NA,"CC BY-NC-ND 4.0",2020-11-24,2020-11-24,2020-11-24,2020-11-25,2,2020-11-25,"Angus Davison","Angus Davison, Maurine Neiman",2
"100",100,"david moreau",100,"louis","bliard",4219,"https://doi.org/10.32942/osf.io/bmfhw","land use-induced spillover: priority actions for protected and conserved area managers","jamie reaser","united states of america",2020,"ecosystems and pathogens",NA,NA,0,"no","https://doi.org/10.2305/iucn.ch.2021.parks-27-sijkr.en","parks",2021-03-01,"no",8,3,NA,NA,"https://doi.org/10.2305/IUCN.CH.2021.PARKS-27-SIJKR.en",2020-11-24,10,97,"preprint",0,0,0,0,0,0,"reviews and meta-analyses","not applicable","not applicable","not applicable","not applicable","yes",NA,"10.2305/iucn.ch.2021.parks-27-sijkr.en","PARKS",TRUE,"gold","Land use-induced spillover: priority actions for protected and conserved area managers","https://doi.org/10.32942/osf.io/bmfhw","https://doi.org/10.2305/IUCN.CH.2021.PARKS-27-SIJKR.en","CC BY-NC-ND 4.0",2020-11-23,2020-11-24,2020-11-24,2022-07-01,3,2020-11-24,"Jamie Reaser","Jamie Reaser, Gary M. Tabor, Daniel Becker, Philip Muruthi, Arne Witt, Stephen J. Woodley, Manuel Ruiz-Aravena, Jonathan Alan Patz, Valerie Hickey, Peter Hudson",10
"101",101,"david moreau",101,"louis","bliard",4216,"https://doi.org/10.32942/osf.io/acu5h","evidence for an allee effect in a declining fur seal population","rebecca nagel","germany",2017,"vertebrates","none","none",0,"no","https://doi.org/10.1098/rspb.2020.2882","proceedings of the royal society b: biological sciences",2021-03-24,"no",16,1,"https://doi.org/10.5061/dryad.zcrjdfnb0","https://doi.org/10.5281/zenodo.4553841","https://doi.org/10.1098/rspb.2020.2882",2020-11-27,6,117,"preprint",0,0,0,0,0,1,"research article","no","no","yes","yes","yes",NA,"10.1098/rspb.2020.2882","Proceedings of the Royal Society B: Biological Sciences",TRUE,"bronze","Evidence for an Allee effect in a declining fur seal population","https://doi.org/10.32942/osf.io/acu5h","https://doi.org/10.1098/rspb.2020.2882","CC BY-SA 4.0",2020-11-27,2020-11-27,2020-11-27,2020-11-27,1,2020-11-27,"Rebecca Nagel","Rebecca Nagel, Claire Stainfield, Cameron Fox-Clarke, Camille Toscani, Jaume Forcada, Joe Hoffman",6
"102",102,"david moreau",102,"louis","bliard",4211,"https://doi.org/10.32942/osf.io/nygu7","experimentally testing the response of feral cats and their prey to poison baiting","tim s. doherty","australia",2013,"vertebrates","https://doi.org/10.6084/m9.figshare.13240637.v1","https://doi.org/10.6084/m9.figshare.13240637.v1",0,"no","https://doi.org/10.1071/wr21008","wildlife research",2021-08-20,"no",9,3,"https://doi.org/10.6084/m9.figshare.13240637.v1","https://doi.org/10.6084/m9.figshare.13240637.v1","https://doi.org/10.1071/WR21008",2020-12-04,4,259,"preprint",0,0,0,0,0,1,"research article","yes","yes","yes","yes","yes",NA,"10.1071/wr21008","Wildlife Research",TRUE,"hybrid","Experimentally testing the response of feral cats and their prey to poison baiting","https://doi.org/10.32942/osf.io/nygu7","https://doi.org/10.1071/WR21008","CC BY-SA 4.0",2020-12-04,2020-12-04,2020-12-04,2021-04-19,3,2021-04-19,"Tim S. Doherty","Tim S. Doherty, Michelle Hall, Ben Parkhurst, Vanessa Westcott",4
"103",103,"david moreau",103,"louis","bliard",4217,"https://doi.org/10.32942/osf.io/6wn7v","ten considerations for conservation policy makers for the post-covid-19 transition","steven j. cooke","canada",1997,"no taxa, review on conservation policy",NA,NA,0,"no","https://doi.org/10.1139/er-2021-0014","environmental reviews",2021-04-01,"no",14,1,NA,NA,"https://doi.org/10.1139/er-2021-0014",2020-11-27,10,125,"preprint",0,0,0,0,0,0,"other","not applicable","not applicable","not applicable","not applicable","yes",NA,"10.1139/er-2021-0014","Environmental Reviews",TRUE,"hybrid","Ten considerations for conservation policy makers for the post-COVID-19 transition","https://doi.org/10.32942/osf.io/6wn7v","https://doi.org/10.1139/er-2021-0014","CC BY-SA 4.0",2020-11-26,2020-11-27,2020-11-27,2020-12-10,1,2020-11-26,"Steven J. Cooke","Steven J. Cooke, Peter Soroye, Jill L Brooks, Julia Clarke, Amanda L Jeanson, Albana Berberi, Morgan L Piczak, Connor H Reid, Jessica Emilie Desforges, Jessika Guay",10
"104",104,"david moreau",104,"louis","bliard",3841,"https://doi.org/10.32942/osf.io/q2zm4","how to behave when marooned: the behavioural component of the island syndrome remains underexplored","ioanna gavriilidi","belgium",2016,"plants, invertebrates, vertebrates",NA,NA,0,"no","https://doi.org/10.1098/rsbl.2022.0030","biology letters",2022-04-20,"no",6,3,NA,NA,"https://doi.org/10.1098/rsbl.2022.0030",2022-01-29,4,81,"preprint",1,0,0,0,1,1,"reviews and meta-analyses","not applicable","not applicable","not applicable","not applicable","yes",NA,"10.1098/rsbl.2022.0030","Biology Letters",TRUE,"hybrid","How to behave when marooned: the behavioural component of the island syndrome remains underexplored","https://doi.org/10.32942/osf.io/q2zm4","https://doi.org/10.1098/rsbl.2022.0030","CC BY-NC-ND 4.0",2022-01-28,2022-01-29,2022-01-29,2022-04-19,3,2022-04-19,"Simon Baeckens","Ioanna Gavriilidi, Gilles De Meester, Raoul Van Damme, Simon Baeckens",4
"105",105,"david moreau",105,"louis","bliard",4214,"https://doi.org/10.32942/osf.io/wydm8","the threshold of ecosystem services assessment in urban forest for learning outcomes in higher education: mahidol university (kanchanaburi campus)","kacharat phormkhunathon","thailand",2021,"vertebrates","none","none",1,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,2020-11-27,1,NA,"preprint",0,0,0,0,0,1,"research article","no","no","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"The Threshold of Ecosystem Services Assessment in Urban Forest for Learning Outcomes in Higher Education: Mahidol University (Kanchanaburi Campus)","https://doi.org/10.32942/osf.io/wydm8",NA,"CC BY-SA 4.0",2020-11-27,2020-11-27,2020-11-27,2020-11-27,1,2020-11-27,"Kacharat Phormkhunathon","Kacharat Phormkhunathon",1
"106",106,"david moreau",106,"louis","bliard",4215,"https://doi.org/10.32942/osf.io/2wcrm","adaptive ageing theory of faster adaptation and inconsistency of the conventional selection shadow evolutionary theory of ageing.","arsen korpetayev","united kingdom",2020,"ageing in general, not a specific taxa",NA,NA,0,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,2020-11-27,1,NA,"preprint",0,0,0,0,0,0,"opinion","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Adaptive ageing theory of faster adaptation and inconsistency of the conventional selection shadow evolutionary theory of ageing.","https://doi.org/10.32942/osf.io/2wcrm",NA,"CC BY-SA 4.0",2020-11-27,2020-11-27,2020-11-27,2020-11-27,1,2020-11-27,"Arsen Korpetayev","Arsen Korpetayev",1
"107",107,"david moreau",107,"louis","bliard",4212,"https://doi.org/10.32942/osf.io/bty8w","qualitative and quantitative methods show stability in patterns of cepaea nemoralis shell polymorphism in the pyrenees over five decades","daniel ramos-gonzalez","united kingdom",2019,"invertebrates","none","none",0,"no","https://doi.org/10.1002/ece3.7443","ecology and evolution",2021-03-23,"no",3,1,"https://onlinelibrary.wiley.com/doi/10.1002/ece3.7443","none",NA,2020-12-01,2,112,"preprint",0,0,0,0,1,1,"research article","no","no","yes","no","yes",NA,NA,NA,NA,NA,"Qualitative and quantitative methods show stability in patterns of Cepaea nemoralis shell polymorphism in the Pyrenees over five decades","https://doi.org/10.32942/osf.io/bty8w",NA,"CC BY-NC-ND 4.0",2020-12-01,2020-12-01,2020-12-01,2020-12-01,1,2020-12-01,"Angus Davison","Angus Davison, Daniel Ramos Gonzalez",2
"108",108,"david moreau",108,"louis","bliard",4213,"https://doi.org/10.32942/osf.io/ex5qu","all together now: limitations and recommendations for the simultaneous analysis of all eukaryotic soil sequences","stephanie jurburg","germany",2010,"plants, fungi, microorganisms, invertebrates",NA,NA,0,"no","https://doi.org/10.1111/1755-0998.13401","molecular ecology resources",2021-05-04,"no",14,2,NA,NA,"https://doi.org/10.1111/1755-0998.13401",2020-12-01,4,154,"preprint",0,0,0,0,0,0,"opinion","not applicable","not applicable","not applicable","not applicable","yes",NA,"10.1111/1755-0998.13401","Molecular Ecology Resources",TRUE,"hybrid","All together now: Limitations and recommendations for the simultaneous analysis of all eukaryotic soil sequences","https://doi.org/10.32942/osf.io/ex5qu","https://doi.org/10.1111/1755-0998.13401","CC BY-SA 4.0",2020-11-30,2020-12-01,2020-12-01,2020-12-16,2,2020-12-16,"Stephanie Jurburg","Stephanie Jurburg, Petr Keil, Brajesh K Singh, Jonathan Chase",4
"109",109,"david moreau",109,"louis","bliard",4208,"https://doi.org/10.32942/osf.io/mub24","space-for-time inferences about range-edge dynamics of tree species can be influenced by sampling biases","ming ni","canada",2018,"plants","none","none",0,"no","https://doi.org/10.1111/gcb.15524","global change biology",2021-01-18,"no",5,1,"none","none","https://doi.org/10.1111/gcb.15524",2020-12-08,2,41,"preprint",1,0,0,0,0,0,"research article","no","no","no","no","yes",NA,"10.1111/gcb.15524","Global Change Biology",FALSE,"closed","Space-for-time inferences about range-edge dynamics of tree species can be influenced by sampling biases","https://doi.org/10.32942/osf.io/mub24","https://doi.org/10.1111/gcb.15524","CC BY-SA 4.0",2020-12-07,2020-12-08,2020-12-08,2020-12-08,1,2020-12-07,"Ming Ni","Ming Ni, Mark Vellend",2
"110",110,"david moreau",110,"louis","bliard",3830,"https://doi.org/10.32942/osf.io/cnzyv","integrated distribution modelling to estimate the national population size of an alpine bird","diana bowler","germany",2003,"vertebrates","none","https://github.com/bowlerbear/ptarmiganupscaling",0,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,2022-02-07,2,NA,"preprint",0,0,0,0,0,1,"research article","no","yes","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Integrated distribution modelling to estimate the national population size of an alpine bird","https://doi.org/10.32942/osf.io/cnzyv",NA,"CC BY-SA 4.0",2022-02-07,2022-02-07,2022-02-07,2022-02-17,1,2022-02-07,"Diana Bowler","Diana Bowler, Erlend Birkeland Nilsen",2
"111",111,"david moreau",111,"louis","bliard",4210,"https://doi.org/10.32942/osf.io/bthsm","ecological countermeasures for pandemic prevention: when ecological restoration is a human health imperative","jamie reaser","united states of america",2002,"ecosystem, zoonotic diseases, no specific taxa",NA,NA,1,"no","https://doi.org/10.1111/rec.13357","restoration ecology",2021-02-18,"yes",37,4,NA,NA,NA,2020-12-06,5,74,"preprint",0,0,0,0,0,0,"opinion","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Ecological Countermeasures for Pandemic Prevention: When Ecological Restoration is a Human Health Imperative","https://doi.org/10.32942/osf.io/bthsm",NA,"CC BY-NC-ND 4.0",2020-12-05,2020-12-06,2020-12-06,2020-12-06,4,2020-12-06,"Jamie Reaser","Jamie Reaser, Arne Witt, Gary M. Tabor, Peter Hudson, Raina Plowright",5
"112",112,"david moreau",112,"louis","bliard",4209,"https://doi.org/10.32942/osf.io/d4mec","management effectiveness positively influences forest conservation outcomes in protected areas in mexico","kathryn ann powlen","united states of america",2018,"plants","none","none",0,"no","https://doi.org/10.1016/j.biocon.2021.109192","biological conservation",2021-05-27,"yes",20,3,"none","none","https://doi.org/10.1016/j.biocon.2021.109192",2020-12-07,3,171,"preprint",1,0,0,0,0,0,"research article","no","no","no","no","yes",NA,"10.1016/j.biocon.2021.109192","Biological Conservation",FALSE,"closed","Management effectiveness positively influences forest conservation outcomes in protected areas in Mexico","https://doi.org/10.32942/osf.io/d4mec","https://doi.org/10.1016/j.biocon.2021.109192","CC BY-SA 4.0",2020-12-07,2020-12-07,2020-12-07,2021-06-04,3,2021-04-02,"Kathryn Ann Powlen","Kathryn Ann Powlen, Michael C. Gavin, Kelly Jones",3
"113",113,"david moreau",113,"louis","bliard",4207,"https://doi.org/10.32942/osf.io/hs6w3","does degeneration or genetic conflict shape gene content on uv sex chromosomes?","sarah carey","united states of america",2015,"algi, bryophytes",NA,NA,10,"no","https://doi.org/10.11646/bde.43.1.11","bryophyte diversity and evolution",2021-06-30,"no",2,2,NA,NA,"https://doi.org/10.11646/bde.43.1.11",2020-12-08,3,204,"preprint",0,1,0,0,0,0,"reviews and meta-analyses","not applicable","not applicable","not applicable","not applicable","yes",NA,"10.11646/bde.43.1.11","Bryophyte Diversity and Evolution",TRUE,"bronze","Does degeneration or genetic conflict shape gene content on UV sex chromosomes?","https://doi.org/10.32942/osf.io/hs6w3","https://doi.org/10.11646/bde.43.1.11","CC BY-SA 4.0",2020-12-08,2020-12-08,2020-12-08,2020-12-16,2,2020-12-16,"Sarah Carey","Sarah Carey, Leslie Kollar, Stuart McDaniel",3
"114",114,"david moreau",114,"louis","bliard",3831,"https://doi.org/10.32942/osf.io/df69c","intergenerational effects of overfeeding on aversive learning in zebrafish (danio rerio)","hamza anwer","australia",2021,"vertebrates","https://github.com/apex619/zebrafish_intergenerational_learning_obesity","https://github.com/apex619/zebrafish_intergenerational_learning_obesity",0,"no","https://doi.org/10.1002/ece3.9423","ecology and evolution",2022-10-17,"no",2,1,"https://github.com/apex619/zebrafish_intergenerational_learning_obesity","https://github.com/apex619/zebrafish_intergenerational_learning_obesity","https://doi.org/10.1002/ece3.9423",2022-02-07,8,252,"preprint",0,0,0,0,0,1,"research article","yes","yes","yes","yes","yes",NA,"10.1002/ece3.9423","Ecology and Evolution",TRUE,"gold","Intergenerational effects of overfeeding on aversive learning in zebrafish (Danio rerio)","https://doi.org/10.32942/osf.io/df69c","https://doi.org/10.1002/ece3.9423","CC BY-SA 4.0",2022-02-07,2022-02-07,2022-02-07,2022-02-17,1,2022-02-07,"Hamza Anwer","Hamza Anwer, Dominic Mason, Susanne Zajitschek, Daniel Hesselson, Daniel W.A. Noble, Margaret Morris, Malgorzata Lagisz, Shinichi Nakagawa",8
